Card,Type,Card_type,ATK,DEF,mana cost,Floop ability,Rarity
Archer Dan,Corn Fields Creatures,creature,12,6,2,Choose an opposing creature and lower its Attack by 4 (Floop: 2),Nice
Captain Taco,Corn Fields Creatures,creature,15,30,5,Lower the attack of the opposing creature by 1 for every card in your opponent's hand (Floop: 1),Algebraic Rare
ChupaMaiz,Corn Fields Creatures,creature,4,10,3,Increase the critical Attack area by %200 next battle phase (Floop: 2),Rare
Corn Dog,Corn Fields Creatures,creature,9,11,2,Adjacent creatures gain +4 Attack (Floop: 3),Nice
Corn Lord,Corn Fields Creatures,creature,10,38,5,Choose a creature and give it +6 Attack (Floop: 2),Algebraic Rare
Corn Ronin,Corn Fields Creatures,creature,18,10,3,+3 Attack for every card in your hand (Floop: 2),Rare
Cornataur,Corn Fields Creatures,creature,17,19,4,This creature and adjacent creatures gain +5 Attack (Floop: 3),Very Rare
Cornball,Corn Fields Creatures,creature,2,5,1,+1 Attack (Floop: 2),Cool
Ethan Allfire,Corn Fields Creatures,creature,5,1,1,Lower the Attack of the opposing creature by 3 and destroy this creature (Floop: 1),Cool
Field Reaper,Corn Fields Creatures,creature,25,13,4,Lower the Attack of all opposing creatures by 4 (Floop: 3),Very Rare
Field Stalker,Corn Fields Creatures,creature,5,34,4,Make the Attack of the opposing creature equal to this creature's Attack (Floop: 2),Very Rare
Ghost Sludger,Corn Fields Creatures,creature,1,37,4,+13 Attack (Floop: 6),Very Rare
Husker Giant,Corn Fields Creatures,creature,15,30,5,+2 Attack for each of your Corn Landscapes (Floop: 1),Algebraic Rare
Husker Knight,Corn Fields Creatures,creature,6,3,1,Adjacent creatures gain +2 Attack (Floop: 3),Cool
Husker Worm,Corn Fields Creatures,creature,3,5,1,Lower the Attack of the creature in the opposing lane by 2 (Floop: 2),Cool
Huskerbat,Corn Fields Creatures,creature,4,22,3,Lower the Attack of the opposing creature equal to this creature's Attack (Floop: 2),Rare
Legion of Earlings,Corn Fields Creatures,creature,23,23,5,All of your creatures gain +5 Attack (Floop: 3),Algebraic Rare
Log Knight,Corn Fields Creatures,creature,10,20,0,Raise this creature's Attack by 4 for every creature you flooped this turn (Floop: 2),Algebraic Rare
Mary-Ann,Corn Fields Creatures,creature,10,27,4,Deal 5 damage to the opposing creature and lower its Attack by 5 (Floop: 2),Very Rare
Patchy the Pumpkin,Corn Fields Creatures,creature,22,5,3,Lower the Attack of the creature in opposing lane by 5 (Floop: 2),Rare
Purple Cow,Corn Fields Creatures,creature,5,20,3,Damage all enemy creatures for 5 and take 5 damage in return (Floop: 2),Algebraic Rare
Rural Earl,Corn Fields Creatures,creature,13,8,2,Gain +2 Attack for each adjacent empty lane (Floop: 2),Cool
Sun King,Corn Fields Creatures,creature,5,25,0,Choose a creature and raise its Attack 4 points for each building you control (Floop: 3),Algebraic Rare
The Sludger,Corn Fields Creatures,creature,15,15,3,Lower the defense of adjacent creatures by 2 and increase their attack by 4 (Floop: 1),Rare
Travelin' Farmer,Corn Fields Creatures,creature,5,5,1,Gain +1 Attack for each adjacent empty lane (Floop: 1),Cool
Ugly Tree,Corn Fields Creatures,creature,15,33,5,Adjacent creatures gain +9 Attack (Floop: 6),Algebraic Rare
Wall of Ears,Corn Fields Creatures,creature,0,18,2,Inflict 2 damage to this creature and gain +2 Attack (Floop: 1),Nice
