Part_Name,Slot,Class,GraphQL_ID,Axie_Amount
Crimson Gecko,Eyes,Bird,eyes-crimson-gecko,2
Vector,Ears,Bug,ears-vector,6
Sky Mavis,Eyes,Bird,eyes-sky-mavis,7
Pointy Nyan,Ears,Beast,ears-pointy-nyan,13
Insomnia,Eyes,Aquatic,eyes-insomnia,18
Dreamy Papi,Eyes,Plant,eyes-dreamy-papi,23
Snowflakes,Eyes,Beast,eyes-snowflakes,156
Kabuki,Eyes,Reptile,eyes-kabuki,1272
Pupae,Tail,Bug,tail-pupae,50277
Cloud,Tail,Bird,tail-cloud,57040
Feather Spear,Horn,Bird,horn-feather-spear,59326
Gerbil,Tail,Beast,tail-gerbil,61389
Unko,Horn,Reptile,horn-unko,62286
Spiky Wing,Back,Bug,back-spiky-wing,65544
Merry,Horn,Beast,horn-merry,66060
Ant,Tail,Bug,tail-ant,68209
Feather Fan,Tail,Bird,tail-feather-fan,71811
Croc,Back,Reptile,back-croc,74206
Timber,Back,Beast,back-timber,74885
Buzz Buzz,Back,Bug,back-buzz-buzz,74943
Gila,Tail,Reptile,tail-gila,75147
Kingfisher,Back,Bird,back-kingfisher,75376
Strawberry Shortcake,Horn,Plant,horn-strawberry-shortcake,79347
Pliers,Horn,Bug,horn-pliers,79794
Ranchu,Tail,Aquatic,tail-ranchu,81298
Turnip,Back,Plant,back-turnip,84247
Snake Jar,Tail,Reptile,tail-snake-jar,86764
Bumpy,Horn,Reptile,horn-bumpy,87194
Tadpole,Tail,Aquatic,tail-tadpole,87367
Hermit,Back,Aquatic,back-hermit,87436
Tassels,Ears,Bug,ears-tassels,88529
Teal Shell,Horn,Aquatic,horn-teal-shell,89891
Watermelon,Horn,Plant,horn-watermelon,94266
Mint,Back,Plant,back-mint,94616
Balloon,Back,Bird,back-balloon,98029
Red Ear,Back,Reptile,back-red-ear,98062
Beetle Spike,Ears,Bug,ears-beetle-spike,98867
Iguana,Tail,Reptile,tail-iguana,99254
Trump,Horn,Bird,horn-trump,100780
Swirl,Ears,Reptile,ears-swirl,102644
Mosquito,Mouth,Bug,mouth-mosquito,104108
Swallow,Tail,Bird,tail-swallow,106772
Potato Leaf,Tail,Plant,tail-potato-leaf,106811
Larva,Ears,Bug,ears-larva,112002
Square Teeth,Mouth,Bug,mouth-square-teeth,112073
Pocky,Horn,Beast,horn-pocky,113334
Antenna,Horn,Bug,horn-antenna,114633
Razor Bite,Mouth,Reptile,mouth-razor-bite,115975
Furball,Back,Beast,back-furball,117236
Wall Gecko,Tail,Reptile,tail-wall-gecko,119618
Sponge,Back,Aquatic,back-sponge,121184
Jaguar,Back,Beast,back-jaguar,123417
Tri Feather,Back,Bird,back-tri-feather,125610
Scaly Spear,Horn,Reptile,horn-scaly-spear,130225
Belieber,Ears,Beast,ears-belieber,132554
Cuckoo,Horn,Bird,horn-cuckoo,135214
Risky Bird,Ears,Bird,ears-risky-bird,136696
Puppy,Ears,Beast,ears-puppy,138568
Gravel Ant,Tail,Bug,tail-gravel-ant,140582
Calico,Eyes,Beast,eyes-calico,142850
Small Frill / Swirl / Friezard,Ears,Reptile,ears-friezard,143580
Scarab,Back,Bug,back-scarab,145586
Blue Moon,Back,Aquatic,back-blue-moon,148257
Hatsune,Tail,Plant,tail-hatsune,149189
Rice,Tail,Beast,tail-rice,152226
Herbivore,Mouth,Plant,mouth-herbivore,152808
Bone Sail,Back,Reptile,back-bone-sail,154072
Catfish,Mouth,Aquatic,mouth-catfish,154857
Pogona,Ears,Reptile,ears-pogona,155746
Little Branch,Horn,Beast,horn-little-branch,158510
Silence Whisper,Mouth,Plant,mouth-silence-whisper,158914
Nerdy,Eyes,Bug,eyes-nerdy,161472
Nerdy / Dente,Eyes,Bug,eyes-nerdy,161472
Perch,Back,Aquatic,back-perch,161754
Sandal,Back,Bug,back-sandal,164528
Confident,Mouth,Beast,mouth-confident,166039
Indian Star,Back,Reptile,back-indian-star,168041
Ear Breathing,Ears,Bug,ears-ear-breathing,168227
Bookworm,Eyes,Bug,eyes-bookworm,169362
Shiitake,Back,Plant,back-shiitake,170487
Kotaro,Eyes,Bug,eyes-kotaro,172419
Puppy,Eyes,Beast,eyes-puppy,175494
Peace Maker,Mouth,Bird,mouth-peace-maker,179153
Scar,Eyes,Reptile,eyes-scar,180910
Small Frill,Ears,Reptile,ears-small-frill,182199
Hungry Bird,Mouth,Bird,mouth-hungry-bird,183014
Sea Bream / Seaslug,Ears,Aquatic,ears-seaslug,185620
Shrimp,Tail,Aquatic,tail-shrimp,186927
Leaf,Ears,Plant,ears-lotus,194320
Fish Snack,Tail,Bug,tail-fish-snack,195417
Cupid,Back,Bird,back-cupid,195799
Arco,Horn,Beast,horn-arco,203383
Cute Bunny,Mouth,Bug,mouth-cute-bunny,204479
Clamshell,Horn,Aquatic,horn-clamshell,206446
Side Bar,Ears,Reptile,ears-sidebarb,212450
Risky Beast,Back,Beast,back-risky-beast,212910
Granma's Fan,Tail,Bird,tail-granmas-fan,214066
Caterpillar,Horn,Bug,horn-caterpillars,214950
Tiny Fan,Ears,Aquatic,ears-tiny-fan,215131
Zeal,Eyes,Beast,eyes-zeal,215430
Neo,Eyes,Bug,eyes-neo,215883
Bookworm / Neo,Eyes,Bug,eyes-neo,215883
Scaly Spoon,Horn,Reptile,horn-scaly-spoon,217047
Wing Horn,Horn,Bird,horn-wing-horn,224708
Parasite,Horn,Bug,horn-parasite,225236
Curved Spine,Ears,Bird,ears-curved-spine,227128
Curved Spine,Ears,Reptile,ears-curved-spine,227128
Robin,Eyes,Bird,eyes-robin,231008
Hero,Back,Beast,back-hero,231347
Navaga,Tail,Aquatic,tail-navaga,232757
Babylonia,Horn,Aquatic,horn-babylonia,233591
Incisor,Horn,Reptile,horn-incisor,234831
Green Thorns,Back,Reptile,back-green-thorns,236401
Toothless Bite,Mouth,Reptile,mouth-toothless-bite,238291
Tiny Dino,Tail,Reptile,tail-tiny-dino,240389
Little Peas,Eyes,Beast,eyes-little-peas,241268
Pincer,Mouth,Bug,mouth-pincer,242821
Lucas,Eyes,Bird,eyes-lucas,247465
Little Owl,Eyes,Bird,eyes-little-owl,248153
Raven,Back,Bird,back-raven,248306
Innocent Lamb,Ears,Beast,ears-innocent-lamb,249256
Cerastes,Horn,Reptile,horn-cerastes,249600
Cattail,Tail,Plant,tail-cattail,250463
Watering Can,Back,Plant,back-watering-can,250822
Axie Kiss,Mouth,Beast,mouth-axie-kiss,257763
Topaz,Eyes,Reptile,eyes-topaz,258900
Topaz / Scar,Eyes,Reptile,eyes-topaz,258900
Kotaro,Mouth,Reptile,mouth-kotaro,260396
Caterpillar,Ears,Bug,ears-earwing,267810
Pink Cheek,Ears,Bird,ears-pink-cheek,268795
The Last One,Tail,Bird,tail-the-last-one,277904
Twin Needle,Tail,Bug,tail-twin-tail,286740
Sakura,Ears,Plant,ears-sakura,287528
Tri Spikes,Back,Reptile,back-tri-spikes,288031
