part_id,part_type,class,part_name,floop_id,floop_name,activation_mana_cost,atk_bias_shift,def_bias_shift,effect_type,base_value,scaling_formula,conditional_rule,target_scope,is_secret,secret_combo_req,archetype_tag,card_art_asset_id
b_mouth_01,mouth,beast,Nutcracker,flp_b_mouth_01,Nutcracker Bite,1,5,-5,DAMAGE,15,BASE + (AXIE_MANA - 1) * 10,NONE,OPPOSING_LANE,0,NONE,Corn_Aggro,art_flp_nutcracker
b_mouth_02,mouth,beast,Axie Kiss,flp_b_mouth_02,Death Kiss,2,10,-10,BUFF_ATK,12,BASE + (AXIE_MANA - 1) * 8,NONE,SELF,0,NONE,Corn_Aggro,art_flp_axie_kiss
b_mouth_03,mouth,beast,Goda,flp_b_mouth_03,Piercing Howl,1,5,-5,DISCARD,10,NONE,NONE,OPPOSING_LANE,0,NONE,Corn_Aggro,art_flp_goda
b_mouth_04,mouth,beast,Confident,flp_b_mouth_04,Self Assurance,1,0,0,BUFF_ATK,8,BASE + (AXIE_MANA - 1) * 5,NONE,SELF,0,NONE,Corn_Aggro,art_flp_confident
aq_mouth_01,mouth,aqua,Lam,flp_aq_mouth_01,Angry Lam,1,5,-5,DAMAGE,14,BASE + (AXIE_MANA - 1) * 8,NONE,OPPOSING_LANE,0,NONE,Blue_Tempo,art_flp_lam
aq_mouth_02,mouth,aqua,Risky Fish,flp_aq_mouth_02,Fish Hook,2,10,-10,DAMAGE,22,BASE + (AXIE_MANA - 1) * 12,NONE,OPPOSING_LANE,0,NONE,Blue_Tempo,art_flp_risky_fish
aq_mouth_03,mouth,aqua,Piranha,flp_aq_mouth_03,Crimson Water,1,0,0,DAMAGE,10,NONE,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,0,NONE,Blue_Tempo,art_flp_piranha
aq_mouth_04,mouth,aqua,Catfish,flp_aq_mouth_04,Swallow Whole,2,-5,5,HEAL,18,BASE + (AXIE_MANA - 1) * 10,NONE,SELF,0,NONE,Blue_Tempo,art_flp_catfish
pl_mouth_01,mouth,plant,Serious,flp_pl_mouth_01,Vegetal Bite,1,-5,5,STEAL_MANA,1,NONE,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,0,NONE,Nice_Sustain,art_flp_serious
pl_mouth_02,mouth,plant,Zigzag,flp_pl_mouth_02,Drain Bite,1,-5,5,HEAL,12,BASE + (AXIE_MANA - 1) * 6,NONE,SELF,0,NONE,Nice_Sustain,art_flp_zigzag
pl_mouth_03,mouth,plant,Herbivore,flp_pl_mouth_03,Vegan Diet,2,-10,10,SHIELD,25,BASE + (AXIE_MANA - 1) * 15,NONE,SELF,0,NONE,Nice_Sustain,art_flp_herbivore
pl_mouth_04,mouth,plant,Silence Whisper,flp_pl_mouth_04,Forest Breath,1,-5,5,HEAL,15,BASE + (AXIE_MANA - 1) * 8,NONE,ALLIED_LANE,0,NONE,Nice_Sustain,art_flp_silence_whisper
bd_mouth_01,mouth,bird,Doubletalk,flp_bd_mouth_01,Soothing Song,1,0,0,SLEEP,1,NONE,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_doubletalk
bd_mouth_02,mouth,bird,Peace Maker,flp_bd_mouth_02,Peace Treaty,1,-5,5,DEBUFF_ATK,8,BASE + (AXIE_MANA - 1) * 5,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_peace_maker
bd_mouth_03,mouth,bird,Little Owl,flp_bd_mouth_03,Dark Swoop,2,15,-15,BURST_DAMAGE,28,BASE + (AXIE_MANA - 1) * 15,NONE,OPPOSING_HERO,0,NONE,Swamp_Backdoor,art_flp_little_owl
bd_mouth_04,mouth,bird,Hungry Bird,flp_bd_mouth_04,Insectivore,1,5,-5,DAMAGE,12,BASE + (AXIE_MANA - 1) * 6,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_hungry_bird
bg_mouth_01,mouth,bug,Mosquito,flp_bg_mouth_01,Blood Taste,1,0,0,HEAL,10,BASE + (AXIE_MANA - 1) * 5,NONE,SELF,0,NONE,Swamp_Disruption,art_flp_mosquito
bg_mouth_02,mouth,bug,Cute Bunny,flp_bg_mouth_02,Terror Chomp,2,-5,5,FEAR,1,NONE,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_cute_bunny
bg_mouth_03,mouth,bug,Square Teeth,flp_bg_mouth_03,Nut Cracking,1,10,-10,DAMAGE,16,BASE + (AXIE_MANA - 1) * 8,NONE,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_square_teeth
bg_mouth_04,mouth,bug,Pincer,flp_bg_mouth_04,Surgical Pincer,1,5,-5,DISCARD,12,BASE + (AXIE_MANA - 1) * 6,NONE,ANY_LANE_ENEMY,0,NONE,Swamp_Disruption,art_flp_pincer
rp_mouth_01,mouth,reptile,Toothless Bite,flp_rp_mouth_01,Sneaky Raid,1,-5,5,DEBUFF_ATK,10,BASE + (AXIE_MANA - 1) * 6,NONE,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_toothless_bite
rp_mouth_02,mouth,reptile,Kotaro,flp_rp_mouth_02,Kotaro Bite,1,0,0,GAIN_MANA,1,NONE,TARGET_MANA <= AXIE_MANA,SELF,0,NONE,Sandy_Attrition,art_flp_kotaro
rp_mouth_03,mouth,reptile,Razor Bite,flp_rp_mouth_03,Venom Fang,2,-5,5,POISON,2,BASE + (AXIE_MANA - 1) * 1,NONE,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_razor_bite
rp_mouth_04,mouth,reptile,Tiny Turtle,flp_rp_mouth_04,Chomp,2,-10,10,STUN,1,NONE,NONE,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_tiny_turtle
b_tail_01,tail,beast,Cottontail,flp_b_tail_01,Luna Absorb,0,0,0,GAIN_MANA,1,NONE,NONE,SELF,0,NONE,Corn_Aggro,art_flp_cottontail
b_tail_02,tail,beast,Rice,flp_b_tail_02,Night Rice,1,-5,5,STEAL_MANA,1,NONE,NONE,OPPOSING_LANE,0,NONE,Corn_Aggro,art_flp_rice
b_tail_03,tail,beast,Shiba,flp_b_tail_03,Shiba Strike,2,15,-15,DAMAGE,25,BASE + (AXIE_MANA - 1) * 12,NONE,OPPOSING_LANE,0,NONE,Corn_Aggro,art_flp_shiba
b_tail_04,tail,beast,Gerbil,flp_b_tail_04,Gerbil Jump,1,0,0,SWAP_LANE,0,NONE,NONE,SELF,0,NONE,Corn_Aggro,art_flp_gerbil
b_tail_05,tail,beast,Hare,flp_b_tail_05,Hare Rush,1,5,-5,DRAW,1,NONE,NONE,SELF,0,NONE,Corn_Aggro,art_flp_hare
b_tail_06,tail,beast,Nutcracker,flp_b_tail_06,Nutcracker Smack,2,10,-10,DAMAGE,20,BASE + (AXIE_MANA - 1) * 10,NONE,OPPOSING_LANE,0,NONE,Corn_Aggro,art_flp_nutcracker_tail
aq_tail_01,tail,aqua,Koi,flp_aq_tail_01,Upstream Swift,1,0,0,BUFF_SPEED,10,BASE + (AXIE_MANA - 1) * 5,NONE,SELF,0,NONE,Blue_Tempo,art_flp_koi
aq_tail_02,tail,aqua,Nimo,flp_aq_tail_02,Tail Slap,0,0,0,GAIN_MANA,1,NONE,NONE,SELF,0,NONE,Blue_Tempo,art_flp_nimo
aq_tail_03,tail,aqua,Tadpole,flp_aq_tail_03,Black Bubble,1,-5,5,DEBUFF_ATK,6,BASE + (AXIE_MANA - 1) * 4,NONE,OPPOSING_LANE,0,NONE,Blue_Tempo,art_flp_tadpole
aq_tail_04,tail,aqua,Ranchu,flp_aq_tail_04,Water Spout,2,-5,5,DEBUFF_ATK,15,BASE + (AXIE_MANA - 1) * 8,NONE,ANY_LANE_ENEMY,0,NONE,Blue_Tempo,art_flp_ranchu
aq_tail_05,tail,aqua,Navaga,flp_aq_tail_05,Ice Spear,1,5,-5,DAMAGE,12,BASE + (AXIE_MANA - 1) * 6,NONE,OPPOSING_LANE,0,NONE,Blue_Tempo,art_flp_navaga
aq_tail_06,tail,aqua,Shrimp,flp_aq_tail_06,Chitin Jump,2,10,-10,BURST_DAMAGE,24,BASE + (AXIE_MANA - 1) * 12,NONE,OPPOSING_HERO,0,NONE,Blue_Tempo,art_flp_shrimp
pl_tail_01,tail,plant,Carrot,flp_pl_tail_01,Carrot Hammer,1,-5,5,SHIELD,20,BASE + (AXIE_MANA - 1) * 10,NONE,SELF,0,NONE,Nice_Sustain,art_flp_carrot
pl_tail_02,tail,plant,Cattail,flp_pl_tail_02,Cattail Slap,1,-5,5,DRAW,1,NONE,TARGET_MANA <= AXIE_MANA,SELF,0,NONE,Nice_Sustain,art_flp_cattail
pl_tail_03,tail,plant,Hatsune,flp_pl_tail_03,Forest Glow,2,-10,10,SHIELD,28,BASE + (AXIE_MANA - 1) * 14,NONE,SELF,0,NONE,Nice_Sustain,art_flp_hatsune
pl_tail_04,tail,plant,Yam,flp_pl_tail_04,Gas Unleash,1,-5,5,POISON,2,BASE + (AXIE_MANA - 1) * 1,NONE,OPPOSING_LANE,0,NONE,Nice_Sustain,art_flp_yam
pl_tail_05,tail,plant,Potato Leaf,flp_pl_tail_05,Aqua Defense,1,-10,10,SHIELD,22,BASE + (AXIE_MANA - 1) * 10,NONE,SELF,0,NONE,Nice_Sustain,art_flp_potato_leaf
pl_tail_06,tail,plant,Hot Butt,flp_pl_tail_06,Spicy Surprise,2,-5,5,DAMAGE,18,BASE + (AXIE_MANA - 1) * 8,NONE,OPPOSING_LANE,0,NONE,Nice_Sustain,art_flp_hot_butt
bd_tail_01,tail,bird,Swallow,flp_bd_tail_01,Early Storm,1,5,-5,DAMAGE,14,BASE + (AXIE_MANA - 1) * 7,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_swallow
bd_tail_02,tail,bird,Feather Fan,flp_bd_tail_02,Triple Feather,2,10,-10,DAMAGE,26,BASE + (AXIE_MANA - 1) * 14,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_feather_fan
