permutation_mouth_tail,Axie_amount,Permutation_Type,Permutation_class
mouth-nut-cracker__tail-cottontail,98654,Pure,Beast
mouth-nut-cracker__tail-rice,35041,Pure,Beast
mouth-nut-cracker__tail-shiba,387410,Pure,Beast
mouth-nut-cracker__tail-gerbil,10393,Pure,Beast
mouth-nut-cracker__tail-hare,27976,Pure,Beast
mouth-nut-cracker__tail-nut-cracker,791502,Pure,Beast
mouth-axie-kiss__tail-cottontail,18737,Pure,Beast
mouth-axie-kiss__tail-rice,15441,Pure,Beast
mouth-axie-kiss__tail-shiba,12480,Pure,Beast
mouth-axie-kiss__tail-gerbil,3453,Pure,Beast
mouth-axie-kiss__tail-hare,83822,Pure,Beast
mouth-axie-kiss__tail-nut-cracker,26390,Pure,Beast
mouth-goda__tail-cottontail,121250,Pure,Beast
mouth-goda__tail-rice,28476,Pure,Beast
mouth-goda__tail-shiba,19850,Pure,Beast
mouth-goda__tail-gerbil,5138,Pure,Beast
mouth-goda__tail-hare,25460,Pure,Beast
mouth-goda__tail-nut-cracker,75643,Pure,Beast
mouth-confident__tail-cottontail,25510,Pure,Beast
mouth-confident__tail-rice,6306,Pure,Beast
mouth-confident__tail-shiba,6520,Pure,Beast
mouth-confident__tail-gerbil,1831,Pure,Beast
mouth-confident__tail-hare,4850,Pure,Beast
mouth-confident__tail-nut-cracker,15022,Pure,Beast
mouth-lam__tail-koi,101185,Pure,Aquatic
mouth-lam__tail-nimo,329310,Pure,Aquatic
mouth-lam__tail-tadpole,5572,Pure,Aquatic
mouth-lam__tail-ranchu,6785,Pure,Aquatic
mouth-lam__tail-navaga,22176,Pure,Aquatic
mouth-lam__tail-shrimp,19687,Pure,Aquatic
mouth-risky-fish__tail-koi,658901,Pure,Aquatic
mouth-risky-fish__tail-nimo,681319,Pure,Aquatic
mouth-risky-fish__tail-tadpole,17030,Pure,Aquatic
mouth-risky-fish__tail-ranchu,19368,Pure,Aquatic
mouth-risky-fish__tail-navaga,122475,Pure,Aquatic
mouth-risky-fish__tail-shrimp,64293,Pure,Aquatic
mouth-piranha__tail-koi,73264,Pure,Aquatic
